TestCentre,TestDetails,All Tests,AllFullTests,AllRetests,CarsFullTests,CarsRetests,TaxisFullTests,TaxisRetests,HGVFullTests,HGVRetests
Armagh,Conducted,53874,47505,6369,39060,4801,205,37,1892,523
Armagh,Pass,43861,37888,5973,31133,4516,154,35,1472,477
Armagh,Fail,10013,9617,396,7927,285,51,2,420,46
Armagh,Pass %,0.814140402,0.797558152,0.937823834,0.797055812,0.940637367,0.751219512,0.945945946,0.778012685,0.912045889
Ballymena,Conducted,80831,66979,13852,54819,11488,566,103,1635,379
Ballymena,Pass,67407,54427,12980,44514,10772,470,96,1270,354
Ballymena,Fail,13424,12552,872,10305,716,96,7,365,25
Ballymena,Pass %,0.833925103,0.812597978,0.937048802,0.812017731,0.937674095,0.830388693,0.932038835,0.77675841,0.934036939
Belfast (Balmoral),Conducted,103772,88816,14956,75112,12738,2335,577,1922,278
Belfast (Balmoral),Pass,89610,75418,14192,63850,12128,1885,543,1617,254
Belfast (Balmoral),Fail,14162,13398,764,11262,610,450,34,305,24
Belfast (Balmoral),Pass %,0.863527734,0.849148802,0.948916823,0.850063905,0.952111791,0.807280514,0.941074523,0.841311134,0.913669065
Coleraine,Conducted,71762,61269,10493,52300,8888,276,61,1312,343
Coleraine,Pass,59581,49709,9872,42441,8389,207,56,991,316
Coleraine,Fail,12181,11560,621,9859,499,69,5,321,27
Coleraine,Pass %,0.830258354,0.811323834,0.940817688,0.811491396,0.943856886,0.75,0.918032787,0.755335366,0.921282799
Cookstown,Conducted,74584,61066,13518,49706,11017,183,57,2111,469
Cookstown,Pass,61455,48739,12716,39747,10387,134,53,1639,430
Cookstown,Fail,13129,12327,802,9959,630,49,4,472,39
Cookstown,Pass %,0.823970289,0.798136443,0.940671697,0.799641894,0.942815649,0.732240437,0.929824561,0.776409285,0.91684435
Craigavon,Conducted,70341,60553,9788,47890,8171,299,92,2917,330
Craigavon,Pass,58304,49166,9138,38545,7649,228,83,2471,308
Craigavon,Fail,12037,11387,650,9345,522,71,9,446,22
Craigavon,Pass %,0.828876473,0.811949862,0.933592154,0.804865316,0.936115531,0.762541806,0.902173913,0.847103188,0.933333333
Downpatrick,Conducted,44957,37942,7015,32884,5938,178,39,604,172
Downpatrick,Pass,37138,30522,6616,26644,5612,141,37,396,159
Downpatrick,Fail,7819,7420,399,6240,326,37,2,208,13
Downpatrick,Pass %,0.826078253,0.804438353,0.943121882,0.810242063,0.94509936,0.792134831,0.948717949,0.655629139,0.924418605
Enniskillen,Conducted,51829,43528,8301,35823,6768,161,42,1198,336
Enniskillen,Pass,42324,34587,7737,28536,6333,124,36,854,295
Enniskillen,Fail,9505,8941,564,7287,435,37,6,344,41
Enniskillen,Pass %,0.816608462,0.794591987,0.932056379,0.796583201,0.93572695,0.770186335,0.857142857,0.712854758,0.87797619
Larne,Conducted,49242,41649,7593,36461,6654,175,39,794,121
Larne,Pass,38979,31891,7088,27799,6229,130,37,634,111
Larne,Fail,10263,9758,505,8662,425,45,2,160,10
Larne,Pass %,0.791580358,0.76570866,0.933491374,0.762431091,0.936128644,0.742857143,0.948717949,0.798488665,0.917355372
Lisburn,Conducted,79434,69160,10274,60292,8766,414,49,1363,360
Lisburn,Pass,67469,57683,9786,50284,8368,352,47,1054,336
Lisburn,Fail,11965,11477,488,10008,398,62,2,309,24
Lisburn,Pass %,0.849371806,0.834051475,0.95250146,0.834007829,0.954597308,0.850241546,0.959183673,0.773294204,0.933333333
Londonderry (New Buildings),Conducted,78243,67443,10800,57144,8778,1267,258,1333,416
Londonderry (New Buildings),Pass,65801,55492,10309,47310,8433,1028,249,911,370
Londonderry (New Buildings),Fail,12442,11951,491,9834,345,239,9,422,46
Londonderry (New Buildings),Pass %,0.84098258,0.822798511,0.954537037,0.827908442,0.960697198,0.81136543,0.965116279,0.683420855,0.889423077
Mallusk,Conducted,85749,70938,14811,54430,12033,1089,263,3598,646
Mallusk,Pass,72149,58183,13966,44229,11384,841,253,3023,601
Mallusk,Fail,13600,12755,845,10201,649,248,10,575,45
Mallusk,Pass %,0.841397567,0.8201951,0.942947809,0.812584972,0.946064988,0.772268136,0.961977186,0.840188994,0.930340557
Newry,Conducted,75974,63048,12926,51577,10366,308,90,2712,756
Newry,Pass,62824,50546,12278,41588,9866,236,84,1981,715
Newry,Fail,13150,12502,648,9989,500,72,6,731,41
Newry,Pass %,0.826914471,0.801706636,0.949868482,0.806328402,0.951765387,0.766233766,0.933333333,0.730457227,0.945767196
Newtownards,Conducted,123096,105321,17775,93779,15614,1039,165,935,269
Newtownards,Pass,103860,87027,16833,77721,14821,858,156,672,243
Newtownards,Fail,19236,18294,942,16058,793,181,9,263,26
Newtownards,Pass %,0.843731722,0.826302447,0.947004219,0.828767635,0.949212245,0.825794033,0.945454545,0.718716578,0.903345725
Omagh,Conducted,46002,38074,7928,31463,6405,186,66,1071,316
Omagh,Pass,38162,30774,7388,25579,6003,130,60,772,281
Omagh,Fail,7840,7300,540,5884,402,56,6,299,35
Omagh,Pass %,0.829572627,0.808268109,0.931886983,0.812986683,0.937236534,0.698924731,0.909090909,0.720821662,0.889240506
Overall,Conducted,1089690,923291,166399,772740,138425,8681,1938,25397,5714
Overall,Pass,908924,752052,156872,629920,130890,6918,1825,19757,5250
Overall,Fail,180766,171239,9527,142820,7535,1763,113,5640,464
Overall,Pass %,0.834112454,0.814534096,0.94274605,0.815177162,0.945566191,0.796912798,0.941692466,0.777926527,0.91879594
